Iteration,x_1,x_2,x_3,Error x_1,Error x_2,Error x_3
0,1.4,1.1,-0.049999999999999954,1.4,1.1,0.049999999999999954
1,0.97,1.0174999999999998,0.011249999999999937,0.42999999999999994,0.08250000000000024,0.06124999999999989
2,0.99075,0.9920625000000001,-0.0005312500000000054,0.020750000000000046,0.02543749999999978,0.011781249999999943
3,1.0032812500000001,1.0010859375,-0.00033046875000000144,0.012531250000000105,0.009023437500000009,0.0002007812500000039
4,0.9996317187500001,1.0000731640625,9.560546874998188e-05,0.0036495312500000043,0.0010127734375000585,0.0004260742187499833
5,0.99995161328125,0.9999401005859375,-8.292480468741203e-06,0.0003198945312499202,0.0001330634765625005,0.00010389794921872308
6,1.0000256182617187,1.0000105508056638,-1.9584106445869056e-06,7.400498046861159e-05,7.04502197262924e-05,6.334069824154298e-06
7,0.9999961713598633,1.0000000220452883,7.723416138194494e-07,2.94469018553567e-05,1.052876037554995e-05,2.730752258406355e-06
8,0.999999836713562,0.9999995730075836,-9.544043730880247e-08,3.665353698667495e-06,4.4903770468618376e-07,8.677820511282519e-07
9,1.000000189885054,1.000000095191482,-9.419566193713535e-09,3.5317149194025177e-07,5.221838984548199e-07,8.602087111508893e-08
10,0.9999999638073204,0.9999999956616132,5.9370198757235926e-09,2.260777335338915e-07,9.952986879113723e-08,1.5356586069437127e-08
11,1.0000000005479506,0.9999999971684779,-9.59046753123971e-10,3.674063020486784e-08,1.5068646330718138e-09,6.896066628847564e-09
12,1.0000000013244184,1.0000000008106278,-2.1695356622331018e-11,7.76467778962342e-10,3.6421499149952297e-09,9.373513965016399e-10
13,0.9999999996800881,0.9999999999308696,4.3243275626991816e-11,1.6443302275348515e-09,8.797581552144607e-10,6.493863224932283e-11
14,1.0000000000190035,0.9999999999831293,-8.86188900039997e-12,3.3891534023666736e-10,5.225964105903813e-11,5.2105164627391784e-11
15,1.0000000000085207,1.0000000000065612,2.6423307986078726e-13,1.0482725798510728e-11,2.3431923068528704e-11,9.126122080260757e-12
